area,date,interest,OK furniture,isPartial,brand,year,month,week,is_zero
ZA,2017-01-01,6,13,False,Bradlows,2017,1,52,0
ZA,2017-01-01,0,13,False,Russells,2017,1,52,1
ZA,2017-01-01,4,13,False,Rochester,2017,1,52,0
ZA,2017-01-01,0,13,False,Sleepmasters,2017,1,52,1
ZA,2017-01-01,13,13,False,OK Furniture,2017,1,52,0
ZA,2017-01-01,2,13,False,House and Home,2017,1,52,0
ZA,2017-01-01,0,13,False,House & Home,2017,1,52,1
ZA,2017-01-01,8,13,False,Lewis,2017,1,52,0
ZA,2017-01-01,0,13,False,Beares,2017,1,52,1
ZA,2017-01-01,0,13,False,Best Home & Electric,2017,1,52,1
ZA,2017-01-01,0,13,False,Best Home and Electric,2017,1,52,1
ZA,2017-01-01,0,13,False,Best Home,2017,1,52,1
ZA,2017-01-01,4,13,False,Dial a Bed,2017,1,52,0
ZA,2017-01-01,0,13,False,The Bed Centre,2017,1,52,1
ZA,2017-01-01,0,13,False,Bed centre,2017,1,52,1
ZA,2017-01-01,6,13,False,The Bed Shop,2017,1,52,0
ZA,2017-01-01,4,13,False,Tafelberg,2017,1,52,0
ZA,2017-01-01,0,13,False,The Mattress King,2017,1,52,1
ZA,2017-01-01,0,13,False,Mattress Gallery,2017,1,52,1
ZA,2017-01-01,6,13,False,Mattress Warehouse,2017,1,52,0
ZA,2017-01-01,4,13,False,Ericssons,2017,1,52,0
ZA,2017-01-08,8,4,False,Bradlows,2017,1,1,0
ZA,2017-01-08,2,4,False,Russells,2017,1,1,0
ZA,2017-01-08,2,4,False,Rochester,2017,1,1,0
ZA,2017-01-08,0,4,False,Sleepmasters,2017,1,1,1
ZA,2017-01-08,4,4,False,OK Furniture,2017,1,1,0
ZA,2017-01-08,15,4,False,House and Home,2017,1,1,0
ZA,2017-01-08,0,4,False,House & Home,2017,1,1,1
ZA,2017-01-08,4,4,False,Lewis,2017,1,1,0
ZA,2017-01-08,0,4,False,Beares,2017,1,1,1
ZA,2017-01-08,0,4,False,Best Home & Electric,2017,1,1,1
ZA,2017-01-08,0,4,False,Best Home and Electric,2017,1,1,1
ZA,2017-01-08,4,4,False,Best Home,2017,1,1,0
ZA,2017-01-08,0,4,False,Dial a Bed,2017,1,1,1
ZA,2017-01-08,2,4,False,The Bed Centre,2017,1,1,0
ZA,2017-01-08,0,4,False,Bed centre,2017,1,1,1
ZA,2017-01-08,4,4,False,The Bed Shop,2017,1,1,0
ZA,2017-01-08,2,4,False,Tafelberg,2017,1,1,0
ZA,2017-01-08,2,4,False,The Mattress King,2017,1,1,0
ZA,2017-01-08,2,4,False,Mattress Gallery,2017,1,1,0
ZA,2017-01-08,2,4,False,Mattress Warehouse,2017,1,1,0
ZA,2017-01-08,0,4,False,Ericssons,2017,1,1,1
ZA,2017-01-15,4,14,False,Bradlows,2017,1,2,0
ZA,2017-01-15,6,14,False,Russells,2017,1,2,0
ZA,2017-01-15,2,14,False,Rochester,2017,1,2,0
ZA,2017-01-15,0,14,False,Sleepmasters,2017,1,2,1
