area,date,interest,sealy,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2019-01-06,10,10,False,Sealy,own,2019,1,1,0
ZA,2019-01-06,0,10,False,Edblo,own,2019,1,1,1
ZA,2019-01-06,0,10,False,King Koil,own,2019,1,1,1
ZA,2019-01-06,0,10,False,King Coil,own,2019,1,1,1
ZA,2019-01-06,0,10,False,Slumber Land,own,2019,1,1,1
ZA,2019-01-06,0,10,False,sealy posturepedic,own,2019,1,1,1
ZA,2019-01-06,0,10,False,Slumberland,own,2019,1,1,1
ZA,2019-01-06,0,10,False,Ashleigh's,competitor_brand,2019,1,1,1
ZA,2019-01-06,0,10,False,Ashleighs,competitor_brand,2019,1,1,1
ZA,2019-01-06,0,10,False,Forgeron,competitor_brand,2019,1,1,1
ZA,2019-01-06,29,10,False,Restonic,competitor_brand,2019,1,1,0
ZA,2019-01-06,10,10,False,Cloud 9,competitor_brand,2019,1,1,0
ZA,2019-01-06,0,10,False,Cloud Nine,competitor_brand,2019,1,1,1
ZA,2019-01-06,19,10,False,Rest Assured,competitor_brand,2019,1,1,0
ZA,2019-01-06,0,10,False,Serta,competitor_brand,2019,1,1,1
ZA,2019-01-06,19,10,False,Simmons,competitor_brand,2019,1,1,0
ZA,2019-01-06,0,10,False,Tempur,competitor_brand,2019,1,1,1
ZA,2019-01-06,0,10,False,Dreamland,competitor_brand,2019,1,1,1
ZA,2019-01-06,10,10,False,Dunlopillo,competitor_brand,2019,1,1,0
ZA,2019-01-06,0,10,False,Forty Winks,competitor_brand,2019,1,1,1
ZA,2019-01-06,7,7,False,Sleepmasters,competitor_brand,2019,1,1,0
ZA,2019-01-06,47,2,False,mattress,other,2019,1,1,0
ZA,2019-01-06,57,1,False,bed,other,2019,1,1,0
ZA,2019-01-13,29,29,False,Sealy,own,2019,1,2,0
ZA,2019-01-13,0,29,False,Edblo,own,2019,1,2,1
ZA,2019-01-13,0,29,False,King Koil,own,2019,1,2,1
ZA,2019-01-13,0,29,False,King Coil,own,2019,1,2,1
ZA,2019-01-13,0,29,False,Slumber Land,own,2019,1,2,1
ZA,2019-01-13,0,29,False,sealy posturepedic,own,2019,1,2,1
ZA,2019-01-13,0,29,False,Slumberland,own,2019,1,2,1
ZA,2019-01-13,0,29,False,Ashleigh's,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,29,False,Ashleighs,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,29,False,Forgeron,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,29,False,Restonic,competitor_brand,2019,1,2,1
ZA,2019-01-13,10,29,False,Cloud 9,competitor_brand,2019,1,2,0
ZA,2019-01-13,10,29,False,Cloud Nine,competitor_brand,2019,1,2,0
ZA,2019-01-13,0,29,False,Rest Assured,competitor_brand,2019,1,2,1
ZA,2019-01-13,10,29,False,Serta,competitor_brand,2019,1,2,0
ZA,2019-01-13,0,29,False,Simmons,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,29,False,Tempur,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,29,False,Dreamland,competitor_brand,2019,1,2,1
ZA,2019-01-13,10,29,False,Dunlopillo,competitor_brand,2019,1,2,0
ZA,2019-01-13,0,29,False,Forty Winks,competitor_brand,2019,1,2,1
ZA,2019-01-13,37,22,False,Sleepmasters,competitor_brand,2019,1,2,0
ZA,2019-01-13,61,6,False,mattress,other,2019,1,2,0
ZA,2019-01-13,62,3,False,bed,other,2019,1,2,0
ZA,2019-01-20,29,29,False,Sealy,own,2019,1,3,0
ZA,2019-01-20,0,29,False,Edblo,own,2019,1,3,1
ZA,2019-01-20,0,29,False,King Koil,own,2019,1,3,1
ZA,2019-01-20,0,29,False,King Coil,own,2019,1,3,1
ZA,2019-01-20,0,29,False,Slumber Land,own,2019,1,3,1
ZA,2019-01-20,0,29,False,sealy posturepedic,own,2019,1,3,1
ZA,2019-01-20,0,29,False,Slumberland,own,2019,1,3,1
ZA,2019-01-20,0,29,False,Ashleigh's,competitor_brand,2019,1,3,1
ZA,2019-01-20,0,29,False,Ashleighs,competitor_brand,2019,1,3,1
ZA,2019-01-20,0,29,False,Forgeron,competitor_brand,2019,1,3,1
ZA,2019-01-20,19,29,False,Restonic,competitor_brand,2019,1,3,0
ZA,2019-01-20,10,29,False,Cloud 9,competitor_brand,2019,1,3,0
ZA,2019-01-20,0,29,False,Cloud Nine,competitor_brand,2019,1,3,1
ZA,2019-01-20,10,29,False,Rest Assured,competitor_brand,2019,1,3,0
ZA,2019-01-20,19,29,False,Serta,competitor_brand,2019,1,3,0
ZA,2019-01-20,10,29,False,Simmons,competitor_brand,2019,1,3,0
ZA,2019-01-20,0,29,False,Tempur,competitor_brand,2019,1,3,1
ZA,2019-01-20,0,29,False,Dreamland,competitor_brand,2019,1,3,1
ZA,2019-01-20,0,29,False,Dunlopillo,competitor_brand,2019,1,3,1
ZA,2019-01-20,0,29,False,Forty Winks,competitor_brand,2019,1,3,1
ZA,2019-01-20,0,22,False,Sleepmasters,competitor_brand,2019,1,3,1
ZA,2019-01-20,60,6,False,mattress,other,2019,1,3,0
ZA,2019-01-20,62,3,False,bed,other,2019,1,3,0
ZA,2019-01-27,19,19,False,Sealy,own,2019,1,4,0
ZA,2019-01-27,0,19,False,Edblo,own,2019,1,4,1
ZA,2019-01-27,0,19,False,King Koil,own,2019,1,4,1
ZA,2019-01-27,0,19,False,King Coil,own,2019,1,4,1
ZA,2019-01-27,0,19,False,Slumber Land,own,2019,1,4,1
ZA,2019-01-27,9,19,False,sealy posturepedic,own,2019,1,4,0
ZA,2019-01-27,0,19,False,Slumberland,own,2019,1,4,1
ZA,2019-01-27,0,19,False,Ashleigh's,competitor_brand,2019,1,4,1
ZA,2019-01-27,0,19,False,Ashleighs,competitor_brand,2019,1,4,1
ZA,2019-01-27,0,19,False,Forgeron,competitor_brand,2019,1,4,1
ZA,2019-01-27,9,19,False,Restonic,competitor_brand,2019,1,4,0
ZA,2019-01-27,0,19,False,Cloud 9,competitor_brand,2019,1,4,1
ZA,2019-01-27,9,19,False,Cloud Nine,competitor_brand,2019,1,4,0
ZA,2019-01-27,9,19,False,Rest Assured,competitor_brand,2019,1,4,0
ZA,2019-01-27,9,19,False,Serta,competitor_brand,2019,1,4,0
ZA,2019-01-27,9,19,False,Simmons,competitor_brand,2019,1,4,0
ZA,2019-01-27,9,19,False,Tempur,competitor_brand,2019,1,4,0
ZA,2019-01-27,0,19,False,Dreamland,competitor_brand,2019,1,4,1
ZA,2019-01-27,0,19,False,Dunlopillo,competitor_brand,2019,1,4,1
ZA,2019-01-27,0,19,False,Forty Winks,competitor_brand,2019,1,4,1
ZA,2019-01-27,0,14,False,Sleepmasters,competitor_brand,2019,1,4,1
ZA,2019-01-27,51,4,False,mattress,other,2019,1,4,0
ZA,2019-01-27,60,2,False,bed,other,2019,1,4,0
ZA,2019-02-03,37,37,False,Sealy,own,2019,2,5,0
ZA,2019-02-03,9,37,False,Edblo,own,2019,2,5,0
ZA,2019-02-03,0,37,False,King Koil,own,2019,2,5,1
ZA,2019-02-03,0,37,False,King Coil,own,2019,2,5,1
ZA,2019-02-03,0,37,False,Slumber Land,own,2019,2,5,1
ZA,2019-02-03,0,37,False,sealy posturepedic,own,2019,2,5,1
ZA,2019-02-03,0,37,False,Slumberland,own,2019,2,5,1
