area,date,interest,isPartial,brand,super_brand,year,month,week,is_zero,estimated_min_interest,estimated_interest
ZA,2019-01-06,10,False,Sealy,own,2019,1,1,0,4.0,10.0
ZA,2019-01-13,29,False,Sealy,own,2019,1,2,0,4.0,29.0
ZA,2019-01-20,29,False,Sealy,own,2019,1,3,0,4.0,29.0
ZA,2019-01-27,19,False,Sealy,own,2019,1,4,0,4.0,19.0
ZA,2019-02-03,37,False,Sealy,own,2019,2,5,0,4.0,37.0
ZA,2019-02-10,28,False,Sealy,own,2019,2,6,0,4.0,28.0
ZA,2019-02-17,38,False,Sealy,own,2019,2,7,0,4.0,38.0
ZA,2019-02-24,28,False,Sealy,own,2019,2,8,0,4.0,28.0
ZA,2019-03-03,47,False,Sealy,own,2019,3,9,0,4.0,47.0
ZA,2019-03-10,48,False,Sealy,own,2019,3,10,0,4.0,48.0
ZA,2019-03-17,21,False,Sealy,own,2019,3,11,0,4.0,21.0
ZA,2019-03-24,39,False,Sealy,own,2019,3,12,0,4.0,39.0
ZA,2019-03-31,19,False,Sealy,own,2019,3,13,0,4.0,19.0
ZA,2019-04-07,0,False,Sealy,own,2019,4,14,1,4.0,4.0
ZA,2019-04-14,51,False,Sealy,own,2019,4,15,0,4.0,51.0
ZA,2019-04-21,20,False,Sealy,own,2019,4,16,0,4.0,20.0
ZA,2019-04-28,19,False,Sealy,own,2019,4,17,0,4.0,19.0
ZA,2019-05-05,37,False,Sealy,own,2019,5,18,0,4.0,37.0
ZA,2019-05-12,19,False,Sealy,own,2019,5,19,0,4.0,19.0
ZA,2019-05-19,77,False,Sealy,own,2019,5,20,0,4.0,77.0
ZA,2019-05-26,38,False,Sealy,own,2019,5,21,0,4.0,38.0
ZA,2019-06-02,36,False,Sealy,own,2019,6,22,0,4.0,36.0
ZA,2019-06-09,38,False,Sealy,own,2019,6,23,0,4.0,38.0
ZA,2019-06-16,31,False,Sealy,own,2019,6,24,0,4.0,31.0
ZA,2019-06-23,49,False,Sealy,own,2019,6,25,0,4.0,49.0
ZA,2019-06-30,9,False,Sealy,own,2019,6,26,0,4.0,9.0
ZA,2019-07-07,47,False,Sealy,own,2019,7,27,0,4.0,47.0
ZA,2019-07-14,9,False,Sealy,own,2019,7,28,0,4.0,9.0
ZA,2019-07-21,28,False,Sealy,own,2019,7,29,0,4.0,28.0
ZA,2019-07-28,54,False,Sealy,own,2019,7,30,0,4.0,54.0
ZA,2019-08-04,36,False,Sealy,own,2019,8,31,0,4.0,36.0
ZA,2019-08-11,26,False,Sealy,own,2019,8,32,0,4.0,26.0
ZA,2019-08-18,53,False,Sealy,own,2019,8,33,0,4.0,53.0
ZA,2019-08-25,9,False,Sealy,own,2019,8,34,0,4.0,9.0
ZA,2019-09-01,9,False,Sealy,own,2019,9,35,0,4.0,9.0
ZA,2019-09-08,0,False,Sealy,own,2019,9,36,1,4.0,4.0
ZA,2019-09-15,35,False,Sealy,own,2019,9,37,0,4.0,35.0
ZA,2019-09-22,65,False,Sealy,own,2019,9,38,0,4.0,65.0
ZA,2019-09-29,9,False,Sealy,own,2019,9,39,0,4.0,9.0
ZA,2019-10-06,17,False,Sealy,own,2019,10,40,0,4.0,17.0
ZA,2019-10-13,8,False,Sealy,own,2019,10,41,0,4.0,8.0
ZA,2019-10-20,8,False,Sealy,own,2019,10,42,0,4.0,8.0
ZA,2019-10-27,59,False,Sealy,own,2019,10,43,0,4.0,59.0
ZA,2019-11-03,8,False,Sealy,own,2019,11,44,0,4.0,8.0
ZA,2019-11-10,8,False,Sealy,own,2019,11,45,0,4.0,8.0
ZA,2019-11-17,35,False,Sealy,own,2019,11,46,0,4.0,35.0
ZA,2019-11-24,79,False,Sealy,own,2019,11,47,0,4.0,79.0
ZA,2019-12-01,44,False,Sealy,own,2019,12,48,0,4.0,44.0
ZA,2019-12-08,28,False,Sealy,own,2019,12,49,0,4.0,28.0
ZA,2019-12-15,20,False,Sealy,own,2019,12,50,0,4.0,20.0
ZA,2019-12-22,22,False,Sealy,own,2019,12,51,0,4.0,22.0
ZA,2019-12-29,51,False,Sealy,own,2019,12,52,0,4.0,51.0
ZA-EC,2019-01-06,0,False,Sealy,own,2019,1,1,1,4.0,4.0
ZA-EC,2019-01-13,0,False,Sealy,own,2019,1,2,1,4.0,4.0
ZA-EC,2019-01-20,0,False,Sealy,own,2019,1,3,1,4.0,4.0
ZA-EC,2019-01-27,0,False,Sealy,own,2019,1,4,1,4.0,4.0
ZA-EC,2019-02-03,0,False,Sealy,own,2019,2,5,1,4.0,4.0
ZA-EC,2019-02-10,0,False,Sealy,own,2019,2,6,1,4.0,4.0
ZA-EC,2019-02-17,0,False,Sealy,own,2019,2,7,1,4.0,4.0
ZA-EC,2019-02-24,0,False,Sealy,own,2019,2,8,1,4.0,4.0
ZA-EC,2019-03-03,68,False,Sealy,own,2019,3,9,0,4.0,68.0
ZA-EC,2019-03-10,0,False,Sealy,own,2019,3,10,1,4.0,4.0
ZA-EC,2019-03-17,0,False,Sealy,own,2019,3,11,1,4.0,4.0
ZA-EC,2019-03-24,0,False,Sealy,own,2019,3,12,1,4.0,4.0
ZA-EC,2019-03-31,0,False,Sealy,own,2019,3,13,1,4.0,4.0
ZA-EC,2019-04-07,70,False,Sealy,own,2019,4,14,0,4.0,70.0
ZA-EC,2019-04-14,0,False,Sealy,own,2019,4,15,1,4.0,4.0
ZA-EC,2019-04-21,0,False,Sealy,own,2019,4,16,1,4.0,4.0
ZA-EC,2019-04-28,0,False,Sealy,own,2019,4,17,1,4.0,4.0
ZA-EC,2019-05-05,0,False,Sealy,own,2019,5,18,1,4.0,4.0
ZA-EC,2019-05-12,0,False,Sealy,own,2019,5,19,1,4.0,4.0
ZA-EC,2019-05-19,0,False,Sealy,own,2019,5,20,1,4.0,4.0
ZA-EC,2019-05-26,68,False,Sealy,own,2019,5,21,0,4.0,68.0
ZA-EC,2019-06-02,0,False,Sealy,own,2019,6,22,1,4.0,4.0
