area,date,interest,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2019-01-06,71,False,Sealy,own,2019,1,1,0
ZA,2019-01-06,0,False,Edblo,own,2019,1,1,1
ZA,2019-01-06,0,False,King Koil,own,2019,1,1,1
ZA,2019-01-06,64,False,sealy posturepedic,own,2019,1,1,0
ZA,2019-01-06,0,False,Forgeron,competitor_brand,2019,1,1,1
ZA,2019-01-06,26,False,Restonic,competitor_brand,2019,1,1,0
ZA,2019-01-06,59,False,Cloud 9,competitor_brand,2019,1,1,0
ZA,2019-01-06,0,False,Rest Assured,competitor_brand,2019,1,1,1
ZA,2019-01-06,85,False,Serta,competitor_brand,2019,1,1,0
ZA,2019-01-06,42,False,Simmons,competitor_brand,2019,1,1,0
ZA,2019-01-06,0,False,Tempur,competitor_brand,2019,1,1,1
ZA,2019-01-06,0,False,Dreamland,competitor_brand,2019,1,1,1
ZA,2019-01-06,0,False,Dunlopillo,competitor_brand,2019,1,1,1
ZA,2019-01-06,0,False,Forty Winks,competitor_brand,2019,1,1,1
ZA,2019-01-06,19,False,Sleepmasters,competitor_brand,2019,1,1,0
ZA,2019-01-13,23,False,Sealy,own,2019,1,2,0
ZA,2019-01-13,18,False,Edblo,own,2019,1,2,0
ZA,2019-01-13,0,False,King Koil,own,2019,1,2,1
ZA,2019-01-13,0,False,sealy posturepedic,own,2019,1,2,1
ZA,2019-01-13,0,False,Forgeron,competitor_brand,2019,1,2,1
ZA,2019-01-13,38,False,Restonic,competitor_brand,2019,1,2,0
ZA,2019-01-13,34,False,Cloud 9,competitor_brand,2019,1,2,0
ZA,2019-01-13,25,False,Rest Assured,competitor_brand,2019,1,2,0
ZA,2019-01-13,27,False,Serta,competitor_brand,2019,1,2,0
ZA,2019-01-13,40,False,Simmons,competitor_brand,2019,1,2,0
ZA,2019-01-13,0,False,Tempur,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,False,Dreamland,competitor_brand,2019,1,2,1
ZA,2019-01-13,0,False,Dunlopillo,competitor_brand,2019,1,2,1
