area,date,interest,isPartial,brand,year,month,week,is_zero,estimated_min_interest,estimated_interest
ZA,2017-01-01,13,False,Bradlows,2017,1,52,0,2.0,13.0
ZA,2017-01-08,16,False,Bradlows,2017,1,1,0,2.0,16.0
ZA,2017-01-15,8,False,Bradlows,2017,1,2,0,2.0,8.0
ZA,2017-01-22,16,False,Bradlows,2017,1,3,0,2.0,16.0
ZA,2017-01-29,12,False,Bradlows,2017,1,4,0,2.0,12.0
ZA,2017-02-05,4,False,Bradlows,2017,2,5,0,2.0,4.0
ZA,2017-02-12,4,False,Bradlows,2017,2,6,0,2.0,4.0
ZA,2017-02-19,8,False,Bradlows,2017,2,7,0,2.0,8.0
ZA,2017-02-26,11,False,Bradlows,2017,2,8,0,2.0,11.0
ZA,2017-03-05,4,False,Bradlows,2017,3,9,0,2.0,4.0
ZA,2017-03-12,39,False,Bradlows,2017,3,10,0,2.0,39.0
ZA,2017-03-19,16,False,Bradlows,2017,3,11,0,2.0,16.0
ZA,2017-03-26,16,False,Bradlows,2017,3,12,0,2.0,16.0
ZA,2017-04-02,19,False,Bradlows,2017,4,13,0,2.0,19.0
ZA,2017-04-09,0,False,Bradlows,2017,4,14,1,2.0,2.0
ZA,2017-04-16,9,False,Bradlows,2017,4,15,0,2.0,9.0
ZA,2017-04-23,17,False,Bradlows,2017,4,16,0,2.0,17.0
ZA,2017-04-30,16,False,Bradlows,2017,4,17,0,2.0,16.0
ZA,2017-05-07,8,False,Bradlows,2017,5,18,0,2.0,8.0
ZA,2017-05-14,9,False,Bradlows,2017,5,19,0,2.0,9.0
ZA,2017-05-21,13,False,Bradlows,2017,5,20,0,2.0,13.0
ZA,2017-05-28,34,False,Bradlows,2017,5,21,0,2.0,34.0
ZA,2017-06-04,21,False,Bradlows,2017,6,22,0,2.0,21.0
ZA,2017-06-11,9,False,Bradlows,2017,6,23,0,2.0,9.0
ZA,2017-06-18,4,False,Bradlows,2017,6,24,0,2.0,4.0
ZA,2017-06-25,18,False,Bradlows,2017,6,25,0,2.0,18.0
ZA,2017-07-02,9,False,Bradlows,2017,7,26,0,2.0,9.0
ZA,2017-07-09,13,False,Bradlows,2017,7,27,0,2.0,13.0
ZA,2017-07-16,22,False,Bradlows,2017,7,28,0,2.0,22.0
