,area,date,interest,isPartial,brand,year,month,week,is_zero,estimated_min_interest,estimated_interest
0,ZA,2019-01-06,35,False,Bradlows,2019,1,1,0,2.5,35.0
1,ZA,2019-01-13,34,False,Bradlows,2019,1,2,0,2.5,34.0
2,ZA,2019-01-20,34,False,Bradlows,2019,1,3,0,2.5,34.0
3,ZA,2019-01-27,19,False,Bradlows,2019,1,4,0,2.5,19.0
4,ZA,2019-02-03,14,False,Bradlows,2019,2,5,0,2.5,14.0
5,ZA,2019-02-10,33,False,Bradlows,2019,2,6,0,2.5,33.0
6,ZA,2019-02-17,14,False,Bradlows,2019,2,7,0,2.5,14.0
7,ZA,2019-02-24,33,False,Bradlows,2019,2,8,0,2.5,33.0
8,ZA,2019-03-03,14,False,Bradlows,2019,3,9,0,2.5,14.0
9,ZA,2019-03-10,14,False,Bradlows,2019,3,10,0,2.5,14.0
10,ZA,2019-03-17,31,False,Bradlows,2019,3,11,0,2.5,31.0
11,ZA,2019-03-24,19,False,Bradlows,2019,3,12,0,2.5,19.0
12,ZA,2019-03-31,19,False,Bradlows,2019,3,13,0,2.5,19.0
13,ZA,2019-04-07,24,False,Bradlows,2019,4,14,0,2.5,24.0
14,ZA,2019-04-14,15,False,Bradlows,2019,4,15,0,2.5,15.0
15,ZA,2019-04-21,25,False,Bradlows,2019,4,16,0,2.5,25.0
16,ZA,2019-04-28,48,False,Bradlows,2019,4,17,0,2.5,48.0
17,ZA,2019-05-05,27,False,Bradlows,2019,5,18,0,2.5,27.0
18,ZA,2019-05-12,14,False,Bradlows,2019,5,19,0,2.5,14.0
19,ZA,2019-05-19,29,False,Bradlows,2019,5,20,0,2.5,29.0
20,ZA,2019-05-26,33,False,Bradlows,2019,5,21,0,2.5,33.0
21,ZA,2019-06-02,23,False,Bradlows,2019,6,22,0,2.5,23.0
22,ZA,2019-06-09,43,False,Bradlows,2019,6,23,0,2.5,43.0
23,ZA,2019-06-16,61,False,Bradlows,2019,6,24,0,2.5,61.0
24,ZA,2019-06-23,48,False,Bradlows,2019,6,25,0,2.5,48.0
25,ZA,2019-06-30,46,False,Bradlows,2019,6,26,0,2.5,46.0
26,ZA,2019-07-07,28,False,Bradlows,2019,7,27,0,2.5,28.0
27,ZA,2019-07-14,37,False,Bradlows,2019,7,28,0,2.5,37.0
28,ZA,2019-07-21,28,False,Bradlows,2019,7,29,0,2.5,28.0
29,ZA,2019-07-28,23,False,Bradlows,2019,7,30,0,2.5,23.0
30,ZA,2019-08-04,18,False,Bradlows,2019,8,31,0,2.5,18.0
31,ZA,2019-08-11,26,False,Bradlows,2019,8,32,0,2.5,26.0
32,ZA,2019-08-18,18,False,Bradlows,2019,8,33,0,2.5,18.0
33,ZA,2019-08-25,35,False,Bradlows,2019,8,34,0,2.5,35.0
34,ZA,2019-09-01,26,False,Bradlows,2019,9,35,0,2.5,26.0
35,ZA,2019-09-08,26,False,Bradlows,2019,9,36,0,2.5,26.0
36,ZA,2019-09-15,26,False,Bradlows,2019,9,37,0,2.5,26.0
37,ZA,2019-09-22,28,False,Bradlows,2019,9,38,0,2.5,28.0
38,ZA,2019-09-29,34,False,Bradlows,2019,9,39,0,2.5,34.0
39,ZA,2019-10-06,42,False,Bradlows,2019,10,40,0,2.5,42.0
40,ZA,2019-10-13,34,False,Bradlows,2019,10,41,0,2.5,34.0
41,ZA,2019-10-20,29,False,Bradlows,2019,10,42,0,2.5,29.0
42,ZA,2019-10-27,17,False,Bradlows,2019,10,43,0,2.5,17.0
43,ZA,2019-11-03,37,False,Bradlows,2019,11,44,0,2.5,37.0
44,ZA,2019-11-10,38,False,Bradlows,2019,11,45,0,2.5,38.0
45,ZA,2019-11-17,52,False,Bradlows,2019,11,46,0,2.5,52.0
46,ZA,2019-11-24,44,False,Bradlows,2019,11,47,0,2.5,44.0
47,ZA,2019-12-01,35,False,Bradlows,2019,12,48,0,2.5,35.0
48,ZA,2019-12-08,43,False,Bradlows,2019,12,49,0,2.5,43.0
49,ZA,2019-12-15,29,False,Bradlows,2019,12,50,0,2.5,29.0
50,ZA,2019-12-22,6,False,Bradlows,2019,12,51,0,2.5,6.0
51,ZA,2019-12-29,36,False,Bradlows,2019,12,52,0,2.5,36.0
52,ZA-EC,2019-01-06,50,False,Bradlows,2019,1,1,0,2.5,50.0
53,ZA-EC,2019-01-13,49,False,Bradlows,2019,1,2,0,2.5,49.0
54,ZA-EC,2019-01-20,0,False,Bradlows,2019,1,3,1,2.5,2.5
55,ZA-EC,2019-01-27,0,False,Bradlows,2019,1,4,1,2.5,2.5
56,ZA-EC,2019-02-03,0,False,Bradlows,2019,2,5,1,2.5,2.5
57,ZA-EC,2019-02-10,94,False,Bradlows,2019,2,6,0,2.5,94.0
58,ZA-EC,2019-02-17,0,False,Bradlows,2019,2,7,1,2.5,2.5
59,ZA-EC,2019-02-24,45,False,Bradlows,2019,2,8,0,2.5,45.0
60,ZA-EC,2019-03-03,0,False,Bradlows,2019,3,9,1,2.5,2.5
61,ZA-EC,2019-03-10,0,False,Bradlows,2019,3,10,1,2.5,2.5
62,ZA-EC,2019-03-17,52,False,Bradlows,2019,3,11,0,2.5,52.0
63,ZA-EC,2019-03-24,0,False,Bradlows,2019,3,12,1,2.5,2.5
64,ZA-EC,2019-03-31,46,False,Bradlows,2019,3,13,0,2.5,46.0
65,ZA-EC,2019-04-07,45,False,Bradlows,2019,4,14,0,2.5,45.0
66,ZA-EC,2019-04-14,0,False,Bradlows,2019,4,15,1,2.5,2.5
67,ZA-EC,2019-04-21,0,False,Bradlows,2019,4,16,1,2.5,2.5
68,ZA-EC,2019-04-28,0,False,Bradlows,2019,4,17,1,2.5,2.5
69,ZA-EC,2019-05-05,0,False,Bradlows,2019,5,18,1,2.5,2.5
70,ZA-EC,2019-05-12,0,False,Bradlows,2019,5,19,1,2.5,2.5
71,ZA-EC,2019-05-19,0,False,Bradlows,2019,5,20,1,2.5,2.5
72,ZA-EC,2019-05-26,0,False,Bradlows,2019,5,21,1,2.5,2.5
73,ZA-EC,2019-06-02,0,False,Bradlows,2019,6,22,1,2.5,2.5
74,ZA-EC,2019-06-09,94,False,Bradlows,2019,6,23,0,2.5,94.0
75,ZA-EC,2019-06-16,0,False,Bradlows,2019,6,24,1,2.5,2.5
76,ZA-EC,2019-06-23,46,False,Bradlows,2019,6,25,0,2.5,46.0
77,ZA-EC,2019-06-30,0,False,Bradlows,2019,6,26,1,2.5,2.5
78,ZA-EC,2019-07-07,0,False,Bradlows,2019,7,27,1,2.5,2.5
79,ZA-EC,2019-07-14,0,False,Bradlows,2019,7,28,1,2.5,2.5
80,ZA-EC,2019-07-21,0,False,Bradlows,2019,7,29,1,2.5,2.5
81,ZA-EC,2019-07-28,0,False,Bradlows,2019,7,30,1,2.5,2.5
82,ZA-EC,2019-08-04,0,False,Bradlows,2019,8,31,1,2.5,2.5
83,ZA-EC,2019-08-11,0,False,Bradlows,2019,8,32,1,2.5,2.5
84,ZA-EC,2019-08-18,42,False,Bradlows,2019,8,33,0,2.5,42.0
85,ZA-EC,2019-08-25,0,False,Bradlows,2019,8,34,1,2.5,2.5
86,ZA-EC,2019-09-01,0,False,Bradlows,2019,9,35,1,2.5,2.5
87,ZA-EC,2019-09-08,42,False,Bradlows,2019,9,36,0,2.5,42.0
88,ZA-EC,2019-09-15,0,False,Bradlows,2019,9,37,1,2.5,2.5
89,ZA-EC,2019-09-22,0,False,Bradlows,2019,9,38,1,2.5,2.5
90,ZA-EC,2019-09-29,0,False,Bradlows,2019,9,39,1,2.5,2.5
91,ZA-EC,2019-10-06,0,False,Bradlows,2019,10,40,1,2.5,2.5
