area,date,interest,sealy,isPartial,brand,super_brand,year,month,week,is_zero
ZA,2017-01-01,17,17,False,Sealy,own,2017,1,52,0
ZA,2017-01-01,0,17,False,Edblo,own,2017,1,52,1
ZA,2017-01-01,0,17,False,King Koil,own,2017,1,52,1
ZA,2017-01-01,0,17,False,King Coil,own,2017,1,52,1
ZA,2017-01-01,0,17,False,Slumber Land,own,2017,1,52,1
ZA,2017-01-01,9,17,False,sealy posturepedic,own,2017,1,52,0
ZA,2017-01-01,0,17,False,Slumberland,own,2017,1,52,1
ZA,2017-01-01,0,36,False,Ashleigh's,competitor_brand,2017,1,52,1
ZA,2017-01-01,0,36,False,Ashleighs,competitor_brand,2017,1,52,1
ZA,2017-01-01,0,36,False,Forgeron,competitor_brand,2017,1,52,1
ZA,2017-01-01,9,36,False,Restonic,competitor_brand,2017,1,52,0
ZA,2017-01-01,0,36,False,Cloud 9,competitor_brand,2017,1,52,1
ZA,2017-01-01,0,36,False,Cloud Nine,competitor_brand,2017,1,52,1
ZA,2017-01-01,18,36,False,Rest Assured,competitor_brand,2017,1,52,0
ZA,2017-01-01,9,36,False,Serta,competitor_brand,2017,1,52,0
ZA,2017-01-01,0,36,False,Simmons,competitor_brand,2017,1,52,1
ZA,2017-01-01,0,36,False,Tempur,competitor_brand,2017,1,52,1
ZA,2017-01-01,0,36,False,Dreamland,competitor_brand,2017,1,52,1
ZA,2017-01-01,0,36,False,Dunlopillo,competitor_brand,2017,1,52,1
ZA,2017-01-08,16,16,False,Sealy,own,2017,1,1,0
ZA,2017-01-08,0,16,False,Edblo,own,2017,1,1,1
ZA,2017-01-08,0,16,False,King Koil,own,2017,1,1,1
ZA,2017-01-08,0,16,False,King Coil,own,2017,1,1,1
ZA,2017-01-08,0,16,False,Slumber Land,own,2017,1,1,1
ZA,2017-01-08,0,16,False,sealy posturepedic,own,2017,1,1,1
ZA,2017-01-08,0,16,False,Slumberland,own,2017,1,1,1
ZA,2017-01-08,0,8,False,Ashleigh's,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Ashleighs,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Forgeron,competitor_brand,2017,1,1,1
ZA,2017-01-08,8,8,False,Restonic,competitor_brand,2017,1,1,0
ZA,2017-01-08,0,8,False,Cloud 9,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Cloud Nine,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Rest Assured,competitor_brand,2017,1,1,1
ZA,2017-01-08,17,8,False,Serta,competitor_brand,2017,1,1,0
ZA,2017-01-08,0,8,False,Simmons,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Tempur,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Dreamland,competitor_brand,2017,1,1,1
ZA,2017-01-08,0,8,False,Dunlopillo,competitor_brand,2017,1,1,1
ZA,2017-01-15,24,24,False,Sealy,own,2017,1,2,0
ZA,2017-01-15,0,24,False,Edblo,own,2017,1,2,1
ZA,2017-01-15,0,24,False,King Koil,own,2017,1,2,1
ZA,2017-01-15,0,24,False,King Coil,own,2017,1,2,1
ZA,2017-01-15,0,24,False,Slumber Land,own,2017,1,2,1
ZA,2017-01-15,16,24,False,sealy posturepedic,own,2017,1,2,0
ZA,2017-01-15,0,24,False,Slumberland,own,2017,1,2,1
ZA,2017-01-15,0,17,False,Ashleigh's,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Ashleighs,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Forgeron,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Restonic,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Cloud 9,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Cloud Nine,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Rest Assured,competitor_brand,2017,1,2,1
ZA,2017-01-15,8,17,False,Serta,competitor_brand,2017,1,2,0
ZA,2017-01-15,0,17,False,Simmons,competitor_brand,2017,1,2,1
ZA,2017-01-15,8,17,False,Tempur,competitor_brand,2017,1,2,0
ZA,2017-01-15,0,17,False,Dreamland,competitor_brand,2017,1,2,1
ZA,2017-01-15,0,17,False,Dunlopillo,competitor_brand,2017,1,2,1
ZA,2017-01-22,0,0,False,Sealy,own,2017,1,3,1
ZA,2017-01-22,0,0,False,Edblo,own,2017,1,3,1
ZA,2017-01-22,0,0,False,King Koil,own,2017,1,3,1
ZA,2017-01-22,0,0,False,King Coil,own,2017,1,3,1
ZA,2017-01-22,0,0,False,Slumber Land,own,2017,1,3,1
ZA,2017-01-22,0,0,False,sealy posturepedic,own,2017,1,3,1
ZA,2017-01-22,0,0,False,Slumberland,own,2017,1,3,1
ZA,2017-01-22,0,17,False,Ashleigh's,competitor_brand,2017,1,3,1
ZA,2017-01-22,0,17,False,Ashleighs,competitor_brand,2017,1,3,1
ZA,2017-01-22,0,17,False,Forgeron,competitor_brand,2017,1,3,1
ZA,2017-01-22,8,17,False,Restonic,competitor_brand,2017,1,3,0
ZA,2017-01-22,8,17,False,Cloud 9,competitor_brand,2017,1,3,0
ZA,2017-01-22,8,17,False,Cloud Nine,competitor_brand,2017,1,3,0
ZA,2017-01-22,0,17,False,Rest Assured,competitor_brand,2017,1,3,1
ZA,2017-01-22,8,17,False,Serta,competitor_brand,2017,1,3,0
ZA,2017-01-22,8,17,False,Simmons,competitor_brand,2017,1,3,0
ZA,2017-01-22,0,17,False,Tempur,competitor_brand,2017,1,3,1
ZA,2017-01-22,0,17,False,Dreamland,competitor_brand,2017,1,3,1
ZA,2017-01-22,0,17,False,Dunlopillo,competitor_brand,2017,1,3,1
ZA,2017-01-29,15,15,False,Sealy,own,2017,1,4,0
ZA,2017-01-29,0,15,False,Edblo,own,2017,1,4,1
