brand,super_brand,area,2019,2020,2021
Cloud 9,competitor_brand,ZA,39.90384615384615,36.0,38.34313725490196
Dreamland,competitor_brand,ZA,19.173076923076923,22.46153846153846,14.529411764705882
Dunlopillo,competitor_brand,ZA,27.442307692307693,21.76923076923077,17.705882352941178
Edblo,own,ZA,15.711538461538462,14.26923076923077,13.137254901960784
Forgeron,competitor_brand,ZA,45.35576923076923,41.27884615384615,30.45098039215686
Forty Winks,competitor_brand,ZA,23.278846153846153,25.826923076923077,24.274509803921568
King Koil,own,ZA,21.384615384615383,17.365384615384617,14.509803921568627
Rest Assured,competitor_brand,ZA,26.21153846153846,27.0,25.607843137254903
Restonic,competitor_brand,ZA,26.26923076923077,33.86538461538461,34.529411764705884
Sealy,own,ZA,40.40384615384615,48.5,51.15686274509804
Serta,competitor_brand,ZA,27.01923076923077,25.03846153846154,22.284313725490197
Simmons,competitor_brand,ZA,35.75,39.78846153846154,27.686274509803923
Sleepmasters,competitor_brand,ZA,20.557692307692307,38.86538461538461,33.05882352941177
Tempur,competitor_brand,ZA,27.134615384615383,22.78846153846154,18.392156862745097
sealy posturepedic,own,ZA,27.39423076923077,27.009615384615383,25.92156862745098
